problem_index,population_size,crossover_probability,mutation_probability,search_optimal,max_steps,optimal_fitness,optimal_percentage,best_fitness_last_pop,avg_fitness_last_pop,shannon_entropy,num_evaluations,execution_time
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,3995.0,3863.1,0.27596951222448857,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4015.0,3795.69,0.29147142838228085,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,3955.0,3821.85,0.2976183539888796,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4015.0,3798.84,0.29111364132954193,1100,0.0
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4005.0,3778.0,0.3073573417467513,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4005.0,3823.25,0.2971062348548251,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,3965.0,3711.94,0.31643622888133643,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4015.0,3814.3,0.31872377225384724,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,3965.0,3747.55,0.3347359920590838,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4015.0,3808.45,0.2985733673746601,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4005.0,3805.69,0.27939449883613654,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4015.0,3812.5,0.28720936826781507,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4015.0,3823.85,0.2579626486401575,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4005.0,3881.0,0.22812668817612508,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4015.0,3816.85,0.2781021389602774,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,3950.0,3709.85,0.3371215698310167,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4015.0,3760.05,0.32593187629357495,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4005.0,3716.34,0.3140365515411924,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4015.0,3816.7,0.312627061264755,1100,0.0
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,3985.0,3799.2,0.2915204968861114,1100,0.001
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,3985.0,3778.95,0.31617105075527063,1100,0.0
2,100,0.6,0.13333333333333333,false,1000,4015.0,100.0,4005.0,3750.59,0.31077349911679697,1100,0.001
2,100,0.6,0.13333333333333333,true,1000,4015.0,100.0,4015.0,3903.35,0.2635957569591243,1443,0.001
2,100,0.6,0.13333333333333333,true,1000,4015.0,100.0,4015.0,3835.75,0.26413963243415556,1251,0.001
